#vars
                 b_tor0                     rm                     r0                     z0
   7.31235772993948E+03   2.23000000000000E+01   4.10264392251612E+01   0.00000000000000E+00
 
#approx
                    cdl                    cly                    cgm                    cmy
   0.00000000000000E+00   1.14648788940839E+00   0.00000000000000E+00   0.00000000000000E+00
  -3.23417597169356E-03  -7.68097766824968E-02  -1.11781728698809E-01   2.15730194458390E+04
   1.12645047344084E-01   1.34265801857532E+00   8.08774576957244E-01  -6.13770787252467E+04
   5.66393687907771E-02  -1.24800984992798E+00  -1.57702649910875E+00   7.07303172835143E+04
  -8.49311435752939E-03   7.66520347519451E-01   1.33439354377145E+00  -2.91417718196929E+04
 
#radial_data
                     rh                    rha                  delta                    ell                   gamm                    con                    tem                   temi                   zeff                   afld
   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   1.14187866991425E+00   0.00000000000000E+00   2.47983417714760E+00   7.17554454119673E-01   2.47508948835493E-01   1.40000000000000E+00   4.99854518796309E-01
   2.79006833021984E-02   2.93954091905978E-02   7.07452734017829E-05   1.14273735442869E+00   2.32386896102762E-05   2.42964298455944E+00   7.03306425675489E-01   2.47373667887127E-01   1.40000000000000E+00   4.99973844132626E-01
   4.64774913847240E-02   4.89923486509964E-02   2.12976736538462E-04   1.14438546290272E+00   6.63487219265826E-05   2.36041363289178E+00   6.83563782394149E-01   2.47099342416340E-01   1.40000000000000E+00   5.00183118458063E-01
   6.50262741288661E-02   6.85892881113949E-02   4.27522256357241E-04   1.14672812621959E+00   1.34631481425338E-04   2.27914963907413E+00   6.60249307450653E-01   2.46668070582389E-01   1.40000000000000E+00   5.00465624252020E-01
   8.35414534869235E-02   8.81862275717934E-02   7.16202536149419E-04   1.14968068647538E+00   2.31414576593302E-04   2.19006126148398E+00   6.34505946390779E-01   2.46082801592478E-01   1.40000000000000E+00   5.00806958424024E-01
   1.02015144399640E-01   1.07783167032192E-01   1.08012392278151E-03   1.15316425063352E+00   3.60677530461213E-04   2.09623887145829E+00   6.07171596168111E-01   2.45347190390423E-01   1.40000000000000E+00   5.01192564581458E-01
   1.20438938926654E-01   1.27380106492591E-01   1.52161826505095E-03   1.15712140816561E+00   5.26841256183935E-04   2.00011262211864E+00   5.78909553923871E-01   2.44458544343947E-01   1.40000000000000E+00   5.01611657954147E-01
   1.38803410737090E-01   1.46977045952989E-01   2.04188906932332E-03   1.16150279442829E+00   7.34794500397507E-04   1.90364793636605E+00   5.50263668156870E-01   2.43417242520109E-01   1.40000000000000E+00   5.02053581570724E-01
   1.57096350847017E-01   1.66573985413388E-01   2.64296100600177E-03   1.16627474202570E+00   9.90085184785460E-04   1.80845328389560E+00   5.21688382282369E-01   2.42242607520129E-01   1.40000000000000E+00   5.02509737334741E-01
   1.75307186982336E-01   1.86170924873786E-01   3.32628441181040E-03   1.17141110419794E+00   1.29855650996896E-03   1.71581573061516E+00   4.93557442675686E-01   2.40924849757475E-01   1.40000000000000E+00   5.02972796954976E-01
   1.93422402077664E-01   2.05767864334185E-01   4.09315304286501E-03   1.17689302279862E+00   1.66682678771130E-03   1.62676520992428E+00   4.66181191592856E-01   2.39465759123433E-01   1.40000000000000E+00   5.03436949531585E-01
   2.11430413518186E-01   2.25364803794583E-01   4.94516484921855E-03   1.18270894708218E+00   2.10181076856583E-03   1.54208178962681E+00   4.39806599801485E-01   2.37865540760033E-01   1.40000000000000E+00   5.03896799595228E-01
   2.29319579715247E-01   2.44961743254982E-01   5.88256415773815E-03   1.18884731114924E+00   2.61090693116563E-03   1.46233454384331E+00   4.14626784603233E-01   2.36135526161866E-01   1.40000000000000E+00   5.04348434545965E-01
   2.47076925580420E-01   2.64558682715380E-01   6.90635867678446E-03   1.19530298334065E+00   3.20223274699638E-03   1.38791269914971E+00   3.90788362682316E-01   2.34275902339143E-01   1.40000000000000E+00   5.04789431539162E-01
   2.64692439195102E-01   2.84155622175779E-01   8.01630741059628E-03   1.20206939097552E+00   3.88393419120219E-03   1.31903202241981E+00   3.68390961053902E-01   2.32290469769638E-01   1.40000000000000E+00   5.05216817562556E-01
   2.82154221748915E-01   3.03752561636177E-01   9.21200973410099E-03   1.20914165175831E+00   4.66497380342748E-03   1.25577912265998E+00   3.47498971349638E-01   2.30185641634231E-01   1.40000000000000E+00   5.05629525773302E-01
   2.99452978953535E-01   3.23349501096576E-01   1.04935922494887E-02   1.21651841177352E+00   5.55426175914050E-03   1.19811641347774E+00   3.28140853507433E-01   2.27963409190544E-01   1.40000000000000E+00   5.06026983746956E-01
   3.16580113213802E-01   3.42946440556974E-01   1.18591728988542E-02   1.22419268048484E+00   6.56089584994288E-03   1.14591193991602E+00   3.10316705569280E-01   2.25613869680824E-01   1.40000000000000E+00   5.06407971210129E-01
   3.33526287114459E-01   3.62543380017373E-01   1.33073674278661E-02   1.23216017408268E+00   7.69450176319191E-03   1.09896301279198E+00   2.94004266610216E-01   2.23145209271082E-01   1.40000000000000E+00   5.06772637181231E-01
   3.50284627864773E-01   3.82140319477772E-01   1.48370985370526E-02   1.24041841748472E+00   8.96433751854765E-03   1.05700469842588E+00   2.79160020378846E-01   2.20574340010143E-01   1.40000000000000E+00   5.07120752008901E-01
   3.66848985426591E-01   4.01737258938170E-01   1.64454828739033E-02   1.24895905850696E+00   1.03795961064932E-02   1.01973189213281E+00   2.65725249098326E-01   2.17900724713546E-01   1.40000000000000E+00   5.07452703017552E-01
   3.83212924911436E-01   4.21334198398569E-01   1.81300203543901E-02   1.25777540651343E+00   1.19496448442792E-02   9.86815188724950E-01   2.53630398102491E-01   2.15133198644619E-01   1.40000000000000E+00   5.07768794297067E-01
   3.99372014523292E-01   4.40931137858967E-01   1.98885033557682E-02   1.26686199479641E+00   1.36832488022450E-02   9.57907876532831E-01   2.42796539527230E-01   2.12272341144054E-01   1.40000000000000E+00   5.08069651245208E-01
   4.15322355493379E-01   4.60528077319366E-01   2.17178963786537E-02   1.27621034079547E+00   1.55888760894632E-02   9.32659518406683E-01   2.33139516344675E-01   2.09334948071075E-01   1.40000000000000E+00   5.08355768192024E-01
   4.31060958881001E-01   4.80125016779764E-01   2.36147178722482E-02   1.28581016814849E+00   1.76745336201569E-02   9.10723361037340E-01   2.24572145949095E-01   2.06325396054240E-01   1.40000000000000E+00   5.08627451346002E-01
   4.46585110026829E-01   4.99721956240163E-01   2.55757367763914E-02   1.29565188627543E+00   1.99477972075430E-02   8.91763614689934E-01   2.17006642221830E-01   2.03244640925127E-01   1.40000000000000E+00   5.08885423774435E-01
   4.61893382420108E-01   5.19318895700561E-01   2.75979121306432E-02   1.30572629580644E+00   2.24155286666904E-02   8.75458953145068E-01   2.10355795893979E-01   2.00103282521838E-01   1.40000000000000E+00   5.09130322230843E-01
   4.76984886311184E-01   5.38915835160960E-01   2.96782008941883E-02   1.31602377181235E+00   2.50839565293708E-02   8.61507092047749E-01   2.04534772371934E-01   1.96909401458531E-01   1.40000000000000E+00   5.09362799412159E-01
   4.91859382176299E-01   5.58512774621358E-01   3.18127968318340E-02   1.32653119948298E+00   2.79586062378916E-02   8.49626897725149E-01   1.99462101869585E-01   1.93658516452340E-01   1.40000000000000E+00   5.09583187992617E-01
   5.06517119141079E-01   5.78109714081757E-01   3.39981550518955E-02   1.33723590683593E+00   3.10444298442169E-02   8.39559798118391E-01   1.95060513146275E-01   1.90354366677451E-01   1.40000000000000E+00   5.09792156878790E-01
   5.20959159124086E-01   5.97706653542156E-01   3.62309256515694E-02   1.34812539122891E+00   3.43452464687432E-02   8.31070041407028E-01   1.91257379809722E-01   1.87007714061536E-01   1.40000000000000E+00   5.09989974972436E-01
   5.35186844562465E-01   6.17303593002554E-01   3.85079165483821E-02   1.35918716428524E+00   3.78644997228697E-02   8.23944893820844E-01   1.87985219010807E-01   1.83623084294429E-01   1.40000000000000E+00   5.10177333180729E-01
   5.49202006265409E-01   6.36900532462953E-01   4.08260748853919E-02   1.37040867680413E+00   4.16048137241471E-02   8.17993793953795E-01   1.85181783344234E-01   1.80203499146958E-01   1.40000000000000E+00   5.10354614176225E-01
   5.63006860080436E-01   6.56497471923351E-01   4.31824800145176E-02   1.38177729923676E+00   4.55681103911592E-02   8.13047364435639E-01   1.82790110871368E-01   1.76759494199948E-01   1.40000000000000E+00   5.10522046295653E-01
   5.76603957024956E-01   6.76094411383750E-01   4.55743433333599E-02   1.39328034227940E+00   4.97556353663467E-02   8.08956124347046E-01   1.80758445747312E-01   1.73290801685051E-01   1.40000000000000E+00   5.10680326859717E-01
   5.89996133975591E-01   6.95691350844148E-01   4.79990119684554E-02   1.40490510728824E+00   5.41679909746351E-02   8.05589035553562E-01   1.79040072016573E-01   1.69804672127901E-01   1.40000000000000E+00   5.10829640598565E-01
   6.03186464197132E-01   7.15288290304547E-01   5.04538885323140E-02   1.41663864246732E+00   5.88051798519279E-02   8.02831959751752E-01   1.77593082971641E-01   1.66312119201372E-01   1.40000000000000E+00   5.10970567061085E-01
   6.16178206965683E-01   7.34885229764945E-01   5.29364819006325E-02   1.42846802547101E+00   6.36666574035135E-02   8.00586087085032E-01   1.76380105118906E-01   1.62817527679925E-01   1.40000000000000E+00   5.11102954116046E-01
   6.28974761791043E-01   7.54482169225344E-01   5.54444973427489E-02   1.44038076808010E+00   6.87513856886359E-02   7.98766382473864E-01   1.75367992241833E-01   1.59328910601824E-01   1.40000000000000E+00   5.11227461687897E-01
   6.41579626188805E-01   7.74079108685742E-01   5.79758205609412E-02   1.45236482038158E+00   7.40578892613171E-02   7.97300085717149E-01   1.74527503188801E-01   1.55851227113169E-01   1.40000000000000E+00   5.11344585095016E-01
   6.53996356150390E-01   7.93676048146141E-01   6.05285079353493E-02   1.46440859507532E+00   7.95843135995784E-02   7.96125290586192E-01   1.73832974143970E-01   1.52393376699637E-01   1.40000000000000E+00   5.11454287170854E-01
   6.66228530792282E-01   8.13272987606539E-01   6.31007817070034E-02   1.47650100095051E+00   8.53284838955264E-02   7.95189619303884E-01   1.73261993632012E-01   1.48958635700673E-01   1.40000000000000E+00   5.11556692174381E-01
   6.78279717411738E-01   8.32869927066938E-01   6.56909255157693E-02   1.48863126926457E+00   9.12879675002508E-02   7.94449002434702E-01   1.72795086777984E-01   1.45550202055816E-01   1.40000000000000E+00   5.11652543537863E-01
   6.90153444306563E-01   8.52466866527337E-01   6.82973179389222E-02   1.50078917408865E+00   9.74601430320904E-02   7.93866567916538E-01   1.72415413082419E-01   1.42177013762905E-01   1.40000000000000E+00   5.11741688546379E-01
   7.01853090241063E-01   8.72063805987735E-01   7.09184635601900E-02   1.51296518499808E+00   1.03842266442237E-01   7.93411642993064E-01   1.72108483289518E-01   1.38845173707101E-01   1.40000000000000E+00   5.11824494351379E-01
   7.13381922758939E-01   8.91660745448134E-01   7.35529985417859E-02   1.52515046336224E+00   1.10431494475612E-01   7.93058855347278E-01   1.71861890191127E-01   1.35559149788741E-01   1.40000000000000E+00   5.11901209609803E-01
   7.24743464240569E-01   9.11257684908532E-01   7.61996999083364E-02   1.53733686131329E+00   1.17225017348981E-01   7.98815219379163E-01   1.71665056783073E-01   1.32323435288877E-01   1.40000000000000E+00   5.11972228139694E-01
   7.35941538066682E-01   9.30854624368931E-01   7.88574582406448E-02   1.54951712214937E+00   1.24220019775528E-01   7.97995817358804E-01   1.71509016129458E-01   1.29152907943968E-01   1.40000000000000E+00   5.12037660175542E-01
   7.46978114581882E-01   9.50451563829329E-01   8.15252487134654E-02   1.56168508253026E+00   1.31415108926858E-01   7.97000428429257E-01   1.71386231227533E-01   1.26053146159248E-01   1.40000000000000E+00   5.12097656407314E-01
   7.57856902774319E-01   9.70048503289728E-01   8.42020859134243E-02   1.57383599794977E+00   1.38808405132742E-01   7.95799071351707E-01   1.71290360536924E-01   1.23022380998321E-01   1.40000000000000E+00   5.12152487281105E-01
   7.68578550717157E-01   9.89645442750126E-01   8.68869650282393E-02   1.58596684187303E+00   1.46401232021364E-01   7.94358655490498E-01   1.65268991617874E-01   1.20068417969931E-01   1.40000000000000E+00   5.12202278614358E-01
   7.79143475651884E-01   1.00924238221052E+00   8.95787559789830E-02   1.59807616297028E+00   1.54195266565395E-01   7.92642811942279E-01   1.63982108956710E-01   1.17199287149060E-01   1.40000000000000E+00   5.12247352984223E-01
   7.89553648541748E-01   1.02883932167092E+00   9.22761967398101E-02   1.61016383845325E+00   1.62191328479107E-01   7.90611641611724E-01   1.62458731208793E-01   1.14418727010868E-01   1.40000000000000E+00   5.12287798113934E-01
   7.99809666044059E-01   1.04843626113132E+00   9.49780652551427E-02   1.62223083003005E+00   1.70392889251200E-01   7.88222364815676E-01   1.60666773611757E-01   1.11728186313727E-01   1.40000000000000E+00   5.12323849863998E-01
   8.09911655372075E-01   1.06803320059172E+00   9.76831464865703E-02   1.63427909804440E+00   1.78801239540116E-01   7.85429650897939E-01   1.58572238173454E-01   1.09127200087588E-01   1.40000000000000E+00   5.12355642688830E-01
   8.19859728902360E-01   1.08763014005212E+00   1.00390189749242E-01   1.64631156103189E+00   1.87420947385677E-01   7.82186118401158E-01   1.56139588800869E-01   1.06604269610421E-01   1.40000000000000E+00   5.12383222268850E-01
   8.29653513234548E-01   1.10722707951252E+00   1.03097828101281E-01   1.65833245622008E+00   1.96256920849041E-01   7.78443316441547E-01   1.53332487331160E-01   1.04152322606475E-01   1.40000000000000E+00   5.12406836690266E-01
   8.39291768424255E-01   1.12682401897292E+00   1.05804566940847E-01   1.67034784600749E+00   2.05317691896601E-01   7.74153105620894E-01   1.50114829215670E-01   1.01761034766166E-01   1.40000000000000E+00   5.12426945064964E-01
   8.48774009985305E-01   1.14642095843331E+00   1.08508832820121E-01   1.68236468369732E+00   2.14605957376781E-01   7.69268441042800E-01   1.46451330782100E-01   9.94119019135534E-02   1.40000000000000E+00   5.12443427050768E-01
   8.58098491003868E-01   1.16601789789371E+00   1.11208864294512E-01   1.69439117856640E+00   2.24131500901962E-01   7.63746091119701E-01   1.42309568339776E-01   9.70741421662273E-02   1.40000000000000E+00   5.12456451489189E-01
   8.67263095148923E-01   1.18561483735411E+00   1.13902634047054E-01   1.70643733878371E+00   2.33904382496611E-01   7.57548587701820E-01   1.37661440776365E-01   9.47085123697539E-02   1.40000000000000E+00   5.12466275621719E-01
   8.76263936750734E-01   1.20521177681451E+00   1.16588116009911E-01   1.71851407108268E+00   2.43941135484428E-01   7.50648029230597E-01   1.32486021922948E-01   9.22652248794567E-02   1.40000000000000E+00   5.12473151126826E-01
   8.85100595844779E-01   1.22480871627491E+00   1.19262942448208E-01   1.73063388170468E+00   2.54244048593161E-01   7.43025044932031E-01   1.26768783699023E-01   8.96802203502049E-02   1.40000000000000E+00   5.12477124351081E-01
   8.93770041650289E-01   1.24440565573531E+00   1.21924071312890E-01   1.74281255088067E+00   2.64828038138891E-01   7.34676455725842E-01   1.20507341794381E-01   8.68699954151884E-02   1.40000000000000E+00   5.12478326089492E-01
   9.02265267321831E-01   1.26400259519571E+00   1.24568826810219E-01   1.75506568883450E+00   2.75719295693268E-01   7.25621578123575E-01   1.13716183592681E-01   8.38711717253909E-02   1.40000000000000E+00   5.12476867194992E-01
   9.10586229656484E-01   1.28359953465610E+00   1.27194068187081E-01   1.76741155073041E+00   2.86918804022245E-01   7.15894599738400E-01   1.06420949803800E-01   8.07398748891304E-02   1.40000000000000E+00   5.12473041950165E-01
   9.18724506638236E-01   1.30319647411650E+00   1.29795349277255E-01   1.77987528618099E+00   2.98456914321257E-01   7.05564963994440E-01   9.86737229958299E-02   7.75048234283992E-02   1.40000000000000E+00   5.12466946394804E-01
   9.26668634428846E-01   1.32279341357690E+00   1.32369335587219E-01   1.79247646186358E+00   3.10376328643847E-01   6.94737345107329E-01   9.05530088304967E-02   7.41703511764339E-02   1.40000000000000E+00   5.12458811878920E-01
   9.34420735200781E-01   1.34239035303730E+00   1.34911573690744E-01   1.80523993851927E+00   3.22670805526742E-01   6.83530738440102E-01   8.21480538300767E-02   7.07192611559096E-02   1.40000000000000E+00   5.12448626649775E-01
   9.41962835979447E-01   1.36198729249770E+00   1.37416420167087E-01   1.81819655484258E+00   3.35407509958142E-01   6.72127342998755E-01   7.35955072490662E-02   6.71251663726098E-02   1.40000000000000E+00   5.12436577372943E-01
